"SANITATION","Year","Population 
(thousands)","% urban","NATIONAL","","","","","","RURAL","","","","","","URBAN","","","","","","NATIONAL","","","","","","","","RURAL","","","","","","","","URBAN","","","","","","","",""
"REGION","","","","","","","","","","","","","","","","","","","","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","",""
"","","","","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Sl"
"Europe and Northern America","2004","1051834.0024185","74","96","<1","3","<1","0.09","-0.00","90","<1","9","<1","0.20","-0.00","98","<1","1","<1","0.03","-0.00","72","-","-","70","0.36","5","12","80","40","-","-","40","0.32","13","32","46","82","3","-","80","0.27","2","5","92","68"
"Europe and Northern America","2005","1055958.6321245","74","96","<1","3","<1","0.09","-0.00","90","<1","9","<1","0.20","-0.00","98","<1","1","<1","0.03","-0.00","72","-","-","70","0.36","5","12","80","41","-","-","41","0.32","13","32","46","83","3","-","80","0.27","2","5","92","69"
"Europe and Northern America","2006","1060972.1935405","75","96","<1","3","<1","0.09","-0.00","91","<1","9","<1","0.20","-0.00","98","<1","1","<1","0.03","-0.00","72","-","-","70","0.36","5","12","80","41","-","-","41","0.32","13","32","46","83","3","-","80","0.27","2","5","92","70"
"Europe and Northern America","2007","1065607.0660552","75","96","<1","3","<1","0.09","-0.00","91","<1","8","<1","0.20","-0.00","98","<1","1","<1","0.03","-0.00","72","-","-","70","0.36","5","12","81","41","-","-","41","0.32","13","33","46","83","3","-","80","0.27","2","5","92","71"
"Europe and Northern America","2008","1070369.2183673","75","97","<1","3","<1","0.09","-0.00","91","<1","8","<1","0.20","-0.00","98","<1","1","<1","0.03","-0.00","73","-","-","71","0.36","5","12","81","41","-","-","41","0.32","13","33","46","83","3","-","81","0.27","2","5","92","72"
"Europe and Northern America","2009","1075105.7964047","75","97","<1","3","<1","0.09","-0.00","91","<1","8","<1","0.20","-0.00","98","<1","1","<1","0.03","-0.00","73","-","-","71","0.36","5","12","81","41","-","-","41","0.32","13","33","46","84","3","-","81","0.27","2","5","92","73"
"Europe and Northern America","2010","1079700.4125586","75","97","<1","3","<1","0.09","-0.00","92","<1","8","<1","0.20","-0.00","98","<1","1","<1","0.03","-0.00","74","-","-","72","0.36","5","11","81","42","-","-","42","0.32","13","33","47","84","3","-","81","0.27","2","4","92","74"
"Europe and Northern America","2011","1084101.8317192","76","97","<1","3","<1","0.09","-0.00","92","<1","7","<1","0.20","-0.00","98","<1","<1","<1","0.03","-0.00","74","-","-","72","0.36","5","11","81","42","-","-","42","0.32","13","33","47","84","3","-","82","0.27","2","4","93","75"
"Europe and Northern America","2012","1088318.5410359","76","97","<1","2","<1","0.09","-0.00","92","<1","7","<1","0.20","-0.00","98","<1","<1","<1","0.03","-0.00","75","-","-","73","0.36","5","11","82","43","-","-","43","0.32","13","33","47","85","3","-","82","0.27","2","4","93","76"
"Europe and Northern America","2013","1092365.899843","76","97","<1","2","<1","0.09","-0.00","92","<1","7","<1","0.20","-0.00","98","<1","<1","<1","0.03","-0.00","75","-","-","73","0.36","5","11","82","43","-","-","43","0.32","13","33","48","85","2","-","83","0.27","2","4","93","77"
