"DRINKING WATER","Year","Population 
(thousands)","% urban","NATIONAL","","","","","RURAL","","","","","URBAN","","","","","NATIONAL","","","","","","","RURAL","","","","","","","URBAN","","","","","","",""
"REGION","","","","","","","","","","","","","","","","","","","Proportion of population using 
improved water supplies","","","","","","","Proportion of population using 
improved water supplies","","","","","","","Proportion of population using 
improved water supplies","","","","","","",""
"","","","","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Sl"
"Eastern and South-Eastern Asia","2002","2078182.3854065","43","83","1","13","3","0.64","72","1","22","5","0.92","97","<1","2","<1","0.05","-","69","79","-","-","51","33","-","51","68","-","-","29","45","89","92","95","89","0.22","80","17","45"
"Eastern and South-Eastern Asia","2003","2094161.6848145","44","84","1","12","3","0.64","73","1","21","5","0.92","97","<1","2","<1","0.05","-","71","80","-","-","52","32","-","53","69","-","-","30","44","89","92","95","89","0.22","81","17","46"
"Eastern and South-Eastern Asia","2004","2109844.4630127","45","84","1","12","3","0.64","74","1","20","5","0.92","97","<1","2","<1","0.05","-","72","81","-","-","54","32","-","56","69","-","-","31","44","89","92","95","89","0.22","81","17","47"
"Eastern and South-Eastern Asia","2005","2125348.4319153","46","85","1","11","3","0.64","75","1","19","5","0.92","97","<1","2","<1","0.05","-","74","82","-","-","55","31","-","59","70","-","-","33","44","89","92","95","89","0.22","81","16","48"
"Eastern and South-Eastern Asia","2006","2140698.128479","47","86","1","11","2","0.64","76","1","18","4","0.92","97","<1","2","<1","0.05","-","76","82","-","-","57","30","-","61","71","-","-","34","43","89","92","95","89","0.22","82","16","49"
"Eastern and South-Eastern Asia","2007","2155914.7566528","49","87","1","10","2","0.64","77","1","18","4","0.92","97","<1","2","<1","0.05","-","78","83","-","-","58","30","-","64","72","-","-","35","43","89","92","95","89","0.22","82","16","50"
"Eastern and South-Eastern Asia","2008","2171101.6145935","50","87","1","9","2","0.64","78","1","17","4","0.92","97","<1","2","<1","0.05","-","80","84","-","-","59","29","-","67","73","-","-","37","43","89","92","95","89","0.22","82","15","51"
"Eastern and South-Eastern Asia","2009","2186375.9259338","51","88","1","9","2","0.64","79","1","16","4","0.92","97","<1","2","<1","0.05","-","81","84","-","-","60","29","-","70","74","-","-","38","43","89","92","95","89","0.22","83","15","52"
"Eastern and South-Eastern Asia","2010","2201806.6313782","52","89","1","8","2","0.64","80","2","15","3","0.92","97","<1","2","<1","0.05","-","83","85","-","-","62","28","-","73","75","-","-","39","42","89","92","95","89","0.22","83","15","53"
"Eastern and South-Eastern Asia","2011","2217429.5158691","53","89","1","8","2","0.64","81","2","15","3","0.92","97","<1","2","<1","0.05","-","84","86","-","-","63","28","-","74","76","-","-","40","42","89","92","95","89","0.22","83","15","54"
"Eastern and South-Eastern Asia","2012","2233184.281311","54","90","1","7","1","0.64","82","2","14","3","0.92","97","<1","2","<1","0.05","-","84","86","-","-","64","27","-","75","77","-","-","42","42","90","92","95","90","0.22","84","14","55"
"Eastern and South-Eastern Asia","2013","2248916.7679443","54","91","1","7","1","0.64","83","2","13","3","0.92","97","<1","2","<1","0.05","-","85","87","-","-","65","26","-","76","78","-","-","43","41","91","92","95","91","0.22","84","14","56"
"Eastern and South-Eastern Asia","2014","2264410.5673828","55","91","1","7","1","0.64","84","2","12","2","0.92","97","<1","2","<1","0.05","-","86","87","-","-","66","26","-","77","78","-","-","44","41","91","92","95","91","0.22","84","14","57"
"Eastern and South-Eastern Asia","2015","2279489.632019","56","92","<1","6","1","0.64","85","2","12","2","0.92","97","<1","2","<1","0.05","-","86","88","-","-","67","25","-","78","79","-","-","46","41","92","92","95","92","0.22","85","13","58"
"Eastern and South-Eastern Asia","2016","2294101.370697","57","92","<1","6","<1","0.64","85","2","11","2","0.92","97","<1","2","<1","0.05","-","87","89","-","-","69","25","-","79","80","-","-","47","40","93","93","95","93","0.22","85","13","59"
"Eastern and South-Eastern Asia","2017","2308227.6324768","58","93","<1","5","<1","0.64","86","2","10","2","0.92","98","<1","2","<1","0.05","-","87","89","-","-","70","24","-","80","81","-","-","48","40","93","93","95","93","0.22","85","13","60"
"Eastern and South-Eastern Asia","2018","2321769.7649841","59","93","<1","5","<1","0.64","87","2","9","1","0.92","98","<1","2","<1","0.05","-","88","90","-","-","71","24","-","81","82","-","-","49","40","93","93","95","94","0.22","85","12","61"
"Eastern and South-Eastern Asia","2019","2334623.0133362","60","94","<1","5","<1","0.64","88","2","9","1","0.92","98","<1","2","<1","0.05","-","88","90","-","-","72","23","-","82","83","-","-","51","40","93","93","95","95","0.22","86","12","62"
"Eastern and South-Eastern Asia","2020","2346709.4398499","61","94","<1","4","<1","0.64","89","2","8","1","0.92","98","<1","2","<1","0.05","-","89","90","-","-","73","23","-","83","84","-","-","52","39","93","93","95","95","0.22","86","12","63"
"Europe and Northern America","2000","1037371.2535864","73","99","<1","1","<1","0.03","96","<1","3","<1","0.12",">99","<1","<1","<1","-0.00","90","91","-","96","0.28","93","6","-","78","-","-","-","81","16","96","96","96","98","0.04","98","2","64"
"Europe and Northern America","2001","1040774.7490456","74","99","<1","1","<1","0.03","96","<1","3","<1","0.12",">99","<1","<1","<1","-0.00","90","91","-","96","0.28","93","6","-","78","-","-","-","81","16","96","96","96","98","0.04","98","2","65"
"Europe and Northern America","2002","1044284.6352341","74","99","<1","1","<1","0.03","96","<1","3","<1","0.12",">99","<1","<1","<1","-0.00","90","92","-","96","0.28","93","5","-","78","-","-","-","81","15","96","96","96","98","0.04","98","2","66"
"Europe and Northern America","2003","1047952.5601947","74","99","<1","<1","<1","0.03","96","<1","3","<1","0.12",">99","<1","<1","<1","-0.00","90","92","-","96","0.28","94","5","-","78","-","-","-","82","15","96","96","96","98","0.04","98","2","67"
"Europe and Northern America","2004","1051834.0024185","74","99","<1","<1","<1","0.03","96","<1","3","<1","0.12",">99","<1","<1","<1","-0.00","91","92","-","96","0.28","94","5","-","79","-","-","-","82","15","96","96","96","98","0.04","98","2","68"
"Europe and Northern America","2005","1055958.6321245","74","99","<1","1","<1","0.03","96","<1","3","<1","0.12",">99","<1","<1","<1","-0.00","93","93","95","97","0.28","94","5","-","83","90","-","-","82","15","96","96","96","98","0.04","98","2","69"
"Europe and Northern America","2006","1060972.1935405","75","99","<1","1","<1","0.03","96","<1","3","<1","0.12",">99","<1","<1","<1","-0.00","93","93","95","97","0.28","94","5","-","84","91","-","-","82","14","96","97","96","98","0.04","98","2","70"
"Europe and Northern America","2007","1065607.0660552","75","99","<1","<1","<1","0.03","96","<1","3","<1","0.12",">99","<1","<1","<1","-0.00","94","94","95","97","0.28","94","5","-","85","91","-","-","83","14","96","97","96","98","0.04","98","2","71"
"Europe and Northern America","2008","1070369.2183673","75","99","<1","1","<1","0.03","96","<1","3","<1","0.12",">99","<1","<1","<1","-0.00","94","94","95","97","0.28","94","5","-","86","91","-","-","83","13","96","97","96","98","0.04","98","2","72"
"Europe and Northern America","2009","1075105.7964047","75","99","<1","1","<1","0.03","96","<1","3","<1","0.12",">99","<1","<1","<1","-0.00","94","94","95","97","0.28","94","4","-","86","91","-","-","84","13","96","97","96","98","0.04","98","2","73"
"Europe and Northern America","2010","1079700.4125586","75","99","<1","<1","<1","0.03","97","<1","3","<1","0.12",">99","<1","<1","<1","-0.00","94","94","95","97","0.28","95","4","-","87","91","-","-","84","13","96","97","96","98","0.04","98","2","74"
"Europe and Northern America","2011","1084101.8317192","76","99","<1","<1","<1","0.03","97","<1","3","<1","0.12",">99","<1","<1","<1","-0.00","95","95","95","97","0.28","95","4","-","88","92","-","-","85","12","96","97","96","98","0.04","98","2","75"
"Europe and Northern America","2012","1088318.5410359","76","99","<1","<1","<1","0.03","97","<1","3","<1","0.12",">99","<1","<1","<1","-0.00","95","95","95","97","0.28","95","4","-","89","92","-","-","85","12","97","97","97","99","0.04","98","2","76"
"Europe and Northern America","2013","1092365.899843","76","99","<1","<1","<1","0.03","97","<1","2","<1","0.12",">99","<1","<1","<1","-0.00","95","95","96","98","0.28","95","4","-","89","92","-","-","86","12","97","97","97","99","0.04","98","2","77"
"Europe and Northern America","2014","1096282.5524008","76","99","<1","<1","<1","0.03","97","<1","2","<1","0.12",">99","<1","<1","<1","-0.00","95","95","96","98","0.28","95","4","-","90","93","-","-","86","12","97","97","97","99","0.04","98","2","78"
"Europe and Northern America","2015","1100090.0271364","76","99","<1","<1","<1","0.03","97","<1","2","<1","0.12",">99","<1","<1","<1","-0.00","95","95","96","98","0.28","95","4","-","90","93","-","-","86","12","97","97","97","99","0.04","98","2","79"
"Europe and Northern America","2016","1103793.4367458","77","99","<1","<1","<1","0.03","98","<1","2","<1","0.12",">99","<1","<1","<1","-0.00","95","95","96","98","0.28","95","4","-","90","93","-","-","87","11","97","97","97","99","0.04","98","2","80"
"Europe and Northern America","2017","1107356.9952255","77","99","<1","<1","<1","0.03","98","<1","2","<1","0.12",">99","<1","<1","<1","-0.00","95","95","96","98","0.28","96","4","-","90","94","-","-","87","11","97","97","97","99","0.04","98","2","81"
"Europe and Northern America","2018","1110715.4148837","77",">99","<1","<1","<1","0.03","98","<1","2","<1","0.12",">99","<1","<1","<1","-0.00","95","95","96","98","0.28","96","4","-","91","94","-","-","87","11","97","97","97","99","0.04","98","2","82"
"Europe and Northern America","2019","1113783.7603936","77",">99","<1","<1","<1","0.03","98","<1","1","<1","0.12",">99","<1","<1","<1","-0.00","96","96","96","98","0.28","96","3","-","91","94","-","-","89","10","97","97","97","99","0.04","98","1","83"
"Europe and Northern America","2020","1116505.6918335","77",">99","<1","<1","<1","0.03","98","<1","1","<1","0.12",">99","<1","<1","<1","-0.00","96","96","97","98","0.28","96","3","-","91","95","-","-","89","9","97","97","97","99","0.04","98","1","84"
"Latin America and the Caribbean","2000","521836.3252027","75","91","<1","6","3","0.34","71","3","17","9","0.93","97","<1","2","<1","0.12","72","83","77","72","0.18","83","9","41","54","58","41","0.62","54","20","82","92","83","82","-0.06","92","5","85"
"Latin America and the Caribbean","2001","529213.15292358","76","91","<1","6","3","0.34","72","2","16","9","0.93","97","<1","2","<1","0.12","72","83","78","72","0.18","83","8","41","56","59","41","0.62","55","20","82","92","83","82","-0.06","92","5","86"
"Latin America and the Caribbean","2002","536441.56899142","76","91","<1","5","3","0.34","73","2","15","9","0.93","97","<1","2","<1","0.12","72","84","78","72","0.18","84","8","42","57","59","42","0.62","57","19","82","92","83","82","-0.06","93","5","87"
"Latin America and the Caribbean","2003","543544.13935494","76","92","<1","5","2","0.34","74","2","14","9","0.93","97","<1","2","<1","0.12","73","84","78","73","0.18","85","8","42","58","60","42","0.62","58","19","82","92","83","82","-0.06","93","5","88"
"Latin America and the Caribbean","2004","550555.24957204","77","92","<1","5","2","0.34","75","2","14","9","0.93","97","<1","2","<1","0.12","73","85","78","73","0.18","85","8","43","60","61","43","0.62","59","19","82","93","83","82","-0.06","93","5","89"
"Latin America and the Caribbean","2005","557500.98042607","77","93","<1","4","2","0.34","76","2","13","8","0.93","97","<1","2","<1","0.12","73","86","78","73","0.18","86","8","43","61","61","43","0.62","60","18","82","93","83","82","-0.06","93","4","90"
"Latin America and the Caribbean","2006","564384.72442722","77","93","<1","4","2","0.34","77","2","12","8","0.93","97","<1","2","<1","0.12","74","86","79","74","0.18","86","7","43","63","62","43","0.62","61","18","82","93","83","82","-0.06","93","4","91"
"Latin America and the Caribbean","2007","571201.88231277","78","93","<1","4","2","0.34","79","2","12","8","0.93","98","<1","2","<1","0.12","74","87","79","74","0.18","87","7","44","64","62","44","0.62","63","18","82","94","83","82","-0.06","94","4","92"
"Latin America and the Caribbean","2008","577962.66529441","78","94","<1","4","2","0.34","80","2","11","8","0.93","98","<1","2","<1","0.12","74","88","79","74","0.18","87","7","44","66","63","44","0.62","64","18","82","94","83","82","-0.06","94","4","93"
"Latin America and the Caribbean","2009","584677.51973391","78","94","<1","3","2","0.34","80","2","10","8","0.93","98","<1","2","<1","0.12","74","88","79","74","0.18","88","7","45","67","63","45","0.62","65","17","83","94","83","83","-0.06","94","4","94"
"Latin America and the Caribbean","2010","591352.34760761","79","94","<1","3","2","0.34","81","2","10","7","0.93","98","<1","1","<1","0.12","75","89","79","75","0.18","88","7","45","69","63","45","0.62","66","17","83","94","83","83","-0.06","94","4","95"
"Latin America and the Caribbean","2011","597994.70607185","79","95","<1","3","2","0.34","82","2","9","7","0.93","98","<1","1","<1","0.12","75","89","79","75","0.18","89","7","46","70","64","46","0.62","67","17","83","95","83","83","-0.06","94","4","96"
"Latin America and the Caribbean","2012","604599.46173811","79","95","<1","3","2","0.34","83","2","8","7","0.93","98","<1","1","<1","0.12","75","90","79","75","0.18","89","7","46","71","64","46","0.62","68","16","83","95","83","83","-0.06","95","4","97"
"Latin America and the Caribbean","2013","611143.93811584","79","95","<1","3","2","0.34","84","2","8","6","0.93","98","<1","1","<1","0.12","75","91","79","76","0.18","89","6","47","73","64","47","0.62","70","16","82","95","82","83","-0.06","95","4","98"
"Latin America and the Caribbean","2014","617596.48960757","80","96","<1","2","1","0.34","85","2","7","6","0.93","98","<1","1","<1","0.12","75","91","78","76","0.18","90","6","48","74","65","48","0.62","71","16","82","96","82","84","-0.06","95","4","99"
"Latin America and the Caribbean","2015","623934.1298275","80","96","<1","2","1","0.34","86","2","7","6","0.93","99","<1","1","<1","0.12","75","92","78","77","0.18","90","6","49","76","65","49","0.62","72","16","82","96","82","84","-0.06","95","4","100"
"Latin America and the Caribbean","2016","630144.55263424","80","96","<1","2","1","0.34","86","2","6","5","0.93","99","<1","<1","<1","0.12","75","92","78","77","0.18","91","6","50","77","65","50","0.62","73","16","82","96","82","84","-0.06","95","4","101"
"Latin America and the Caribbean","2017","636233.1380434","80","97","<1","2","1","0.34","87","2","6","5","0.93","99","<1","<1","<1","0.12","75","93","78","78","0.18","91","6","51","79","65","51","0.62","74","16","81","96","81","85","-0.06","95","4","102"
"Latin America and the Caribbean","2018","642216.70022011","81","97","<1","2","1","0.34","88","2","5","5","0.93",">99","<1","<1","<1","0.12","75","93","78","79","0.18","92","6","51","80","65","51","0.62","75","15","81","96","81","85","-0.06","96","4","103"
"Latin America and the Caribbean","2019","648120.9543345","81","97","<1","1","<1","0.34","89","2","5","5","0.93",">99","<1","<1","<1","0.12","75","94","78","79","0.18","92","6","52","81","66","52","0.62","76","15","81","97","81","85","-0.06","96","4","104"
